BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Douglas Elliman  -111 Fifth Ave,Condo,315000,2,2,1400.0,New York,"2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,40.761255,-73.9744834
Brokered by Sowae Corp,House,260000,4,2,2015.0,Staten Island,"620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,40.5418051,-74.1961086
Brokered by COMPASS,Condo,69000,3,1,445.0,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,40.7613979,-73.9746128
Brokered by Sowae Corp,House,690000,5,2,4004.0,Brooklyn,"584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,40.6743632,-73.9587248
Brokered by Douglas Elliman - 575 Madison Ave,Condo,899500,2,2,2184.207862,New York,"157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,40.809448,-73.946777
Brokered by Pantiga Group Inc.,Co-op,265000,1,1,750.0,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,40.8215857,-73.8740892
Brokered by CENTURY 21 MK Realty,Co-op,440000,2,1,978.0,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6157378,-73.9696944
Brokered by Engel & Volkers Americas,Co-op,375000,2,1,850.0,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,40.8248699,-73.9229829
Brokered by Re/Max Edge,Townhouse,689000,3,2,1162.0,Staten Island,"456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,40.6249962,-74.1553058
Brokered by COMPASS,Co-op,259000,3,1,2184.207862,Jackson Heights,"34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,40.7531191,-73.8818757
Brokered by Jamie & Connie Real Estate Grp,Co-op,430000,2,2,2184.207862,Elmhurst,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,40.7438639,-73.8745722
Brokered by Corcoran Chelsea/Flatiron,Co-op,895000,3,1,2184.207862,New York,"61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,40.7382981,-74.0058899
Brokered by Awaye Realty,Condo,549000,2,2,1000.0,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,40.5406209,-74.1671632
Brokered by Realty Executives Today,Townhouse,975000,3,2,1734.0,Woodside,"28-31 Hobart StWoodside, NY 11377",United States,New York,Queens County,40.7607676,-73.9056672
