TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Condo,12.660331092405906,2,2,1400.0,New York,"2 E 55th St Unit 803New York, NY 10022",New York County,Other,40.761255,-73.9744834,280.0,0.6666666666666666,4,466.6666666666667,0,Medium
House,12.468440756144114,4,2,2015.0,Staten Island,"620 Sinclair AveStaten Island, NY 10312",United States,Richmond County,40.5418051,-74.1961086,287.85714285714283,0.4,6,403.0,-2,Large
Condo,11.141876276228,3,1,445.0,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York County,40.7613979,-73.9746128,89.0,0.25,4,111.25,-2,VerySmall
House,13.444448325847754,5,2,4004.0,Brooklyn,"584 Park PlBrooklyn, NY 11238",United States,Kings County,40.6743632,-73.9587248,500.5,0.3333333333333333,7,667.3333333333334,-3,Large
Condo,13.709595444100845,2,2,2184.207862,New York,"157 W 126th St Unit 1BNew York, NY 10027",New York,New York,40.809448,-73.946777,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Co-op,12.487488878546145,1,1,750.0,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,Other,40.8215857,-73.8740892,250.0,0.5,2,375.0,0,Small
Co-op,12.994532278619134,2,1,978.0,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Brooklyn,40.6157378,-73.9696944,244.5,0.3333333333333333,3,326.0,-1,Small
Co-op,12.834683971615659,2,1,850.0,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",New York,The Bronx,40.8248699,-73.9229829,212.5,0.3333333333333333,3,283.3333333333333,-1,Small
Townhouse,13.442998001373553,3,2,1162.0,Staten Island,"456 Van Name AveStaten Island, NY 10303",United States,Richmond County,40.6249962,-74.1553058,193.66666666666666,0.5,5,290.5,-1,Medium
Co-op,12.464587201678082,3,1,2184.207862,Other,"34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens,40.7531191,-73.8818757,436.8415724,0.25,4,546.0519655,-2,Large
Co-op,12.971542813248437,2,2,2184.207862,Other,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens,40.7438639,-73.8745722,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Co-op,13.704580114574805,3,1,2184.207862,New York,"61 Jane St Apt 6NNew York, NY 10014",New York,New York,40.7382981,-74.0058899,436.8415724,0.25,4,546.0519655,-2,Large
Condo,13.215855541983634,2,2,1000.0,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Staten Island,40.5406209,-74.1671632,200.0,0.6666666666666666,4,333.3333333333333,0,Small
Townhouse,13.790193775620484,3,2,1734.0,Other,"28-31 Hobart StWoodside, NY 11377",United States,Queens County,40.7607676,-73.9056672,289.0,0.5,5,433.5,-1,Medium
Co-op,12.201065128819632,3,1,325.0,Brooklyn,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Brooklyn,40.6181029,-74.0369047,65.0,0.25,4,81.25,-2,VerySmall
Co-op,12.765691290604371,1,1,700.0,Bronx,"5800 Arlington Ave Apt 21ABronx, NY 10471",New York,The Bronx,40.9073699,-73.9065578,233.33333333333334,0.5,2,350.0,0,Small
